account_id,date,total_number_of_orders,avg_person_money,total_money
62fbf03d1505f80c8080c2d8,-5,1,20000,20000
62dec8221505f82107f29f06,-25,2,34750,69500
62d908c61505f8a5fb0e3d5a,-25,1,20000,20000
62e1f67b1505f86c9bbd7435,-1,1,20000,20000
62d8c7e61505f84bf0550df4,-31,1,20000,20000
62df66e91505f82107f2cc59,-15,1,20000,20000
62db181f1505f82107f0d36c,-24,1,20000,20000
62d828fd1505f84bf054e5b2,-6,2,20000,40000
62f1f7a91505f8c1cf2eb434,-12,1,20000,20000
62d90e2a1505f8a5fb0e43db,-32,1,20000,20000
62f33a1c1505f8c1cf2f3a6f,-12,1,20000,20000
62e6040e1505f85c7c7b914c,-4,1,20000,20000
62dc0ac71505f82107f150f7,-29,1,20000,20000
62e508001505f85c7c7ad45e,-22,1,20000,20000
62dd4d7c1505f82107f1ef31,-29,1,20000,20000
62dcfe5e1505f82107f1ba10,-28,3,79333.33333,238000
62d9105c1505f8a5fb0e461d,-16,3,20000,60000
62d8f3871505f84bf05524ca,-11,2,59500,119000
62deede91505f82107f2a66a,-1,13,34423.07692,447500
62e3d9261505f86c9bbf242e,-23,1,99000,99000
62fa3b341505f8cc71ca6c4a,-1,3,264000,792000
62d976941505f8a5fb0e9b97,-2,3,165000,495000
62f374ff1505f8c1cf2f58a1,-3,1,99000,99000
62d8a4151505f84bf054fb50,-19,2,59500,119000
6300b5191505f8fb5aa57c65,-1,1,20000,20000
62ff18c61505f8fb5aa505f0,-3,1,20000,20000
62d907da1505f8a5fb0e3ba2,-12,11,307818.1818,3386000
62fb9b3e1505f824c3d17a5a,-4,1,20000,20000
62f8d9bb1505f8cc71ca0556,-8,1,20000,20000
62e916a61505f8c1cf2b1202,-13,1,20000,20000
62ded8f31505f82107f2a37a,-27,1,20000,20000
62e440651505f85c7c7a3ec8,-23,1,99000,99000
62e117691505f86c9bbcd5dc,-18,1,20000,20000
62d9138b1505f8a5fb0e4925,-18,5,87200,436000
62d96c6c1505f8a5fb0e95c2,-31,1,20000,20000
62e5ba701505f85c7c7b4c49,-22,1,20000,20000
62e622a71505f85c7c7bb661,-22,1,20000,20000
62db4bbb1505f82107f0df7a,-29,1,20000,20000
62e12f631505f86c9bbcf2ff,-22,1,20000,20000
62e32baa1505f86c9bbe781a,-23,1,20000,20000
62d8c2b51505f84bf0550b06,-32,1,20000,20000
62f0d11b1505f8c1cf2e5645,-14,1,20000,20000
62e504df1505f85c7c7ad167,-17,3,20000,60000
62e6729d1505f85c7c7bf928,-13,2,59500,119000
62ed48da1505f8c1cf2cf1d9,-15,1,20000,20000
62d957501505f8a5fb0e83c8,-8,2,59500,119000
62ddcd301505f82107f20fa6,-28,1,20000,20000
62e0c63f1505f86c9bbc95d3,-26,1,20000,20000
62e0b16a1505f86c9bbc854b,-15,5,87200,436000
62e000a71505f82107f34939,-26,1,20000,20000
62ea48671505f8c1cf2b95d2,-18,1,20000,20000
62f167cd1505f8c1cf2e8638,-13,3,20000,60000
62e0c0931505f86c9bbc9144,-26,1,20000,20000
62dcdf1e1505f82107f1a757,-14,1,20000,20000
62dbb6a61505f82107f119c8,-26,1,20000,20000
62db9d831505f82107f10c1f,-29,1,20000,20000
62de23ec1505f82107f23a77,-28,1,20000,20000
62da583b1505f8a5fb0eee7b,-26,1,20000,20000
62dfa5571505f82107f2fbfc,-27,1,20000,20000
62d8be491505f84bf055087f,-4,2,59500,119000
62eb69831505f8c1cf2c265d,-18,1,20000,20000
62da974d1505f8a5fb0f144d,-4,10,269300,2693000
62e4b5f81505f85c7c7a837f,-23,1,49500,49500
62fb6e6f1505f824c3d16b35,-6,1,20000,20000
62e369e61505f86c9bbeb938,-17,5,245600,1228000
62dd43d31505f82107f1e896,-29,1,20000,20000
62e27aa61505f86c9bbe0894,-25,1,20000,20000
62da20d21505f8a5fb0ecfa5,-31,1,20000,20000
62f5b5471505f8cc71c8f441,-10,1,20000,20000
62faeaa01505f8cc71ca8cbd,-2,1,20000,20000
62d908cf1505f8a5fb0e3d64,-15,2,49500,99000
62d90c491505f8a5fb0e41f4,-31,1,20000,20000
62da4a061505f8a5fb0ee79a,-17,1,20000,20000
